General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
1074,52655,ثانوية المنارات بمحافظة عنيزة,عنيزة,Qassim,Domestic,تعليم عام بنات,64.41
1082,96683,ثانوية العبير الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,64.37
1095,96655,ثانوية الوسطى الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,64.31
1097,195057,ثانوية أجيال الحضارة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,64.3
1100,35182,ثانوية معرفة العبير,جدة,Makkah,Domestic,تعليم عام بنات,64.28
1103,96643,ثانوية الجيل الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,64.25
1117,77965,ثانوية رياض الصالحين النموذجية الأهلية بتبوك,تبوك,Tabuk,Domestic,تعليم عام بنات,64.17
1118,49156,ثانوية انجال القصيم لتعليم الكبيرات ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,64.15
1120,35293,ثانوية المنال,جدة,Makkah,Domestic,تعليم عام بنات,64.13
1128,97467,ثانوية الفنار الأهلية,لبن,Riyadh,Domestic,تعليم عام بنات,64.09
1129,96747,ثانوية القلم الاهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,64.08
1131,16776,ثانوية فرسان الجزيرة الأهلية بالخرج,الخرج,Riyadh,Domestic,تعليم عام بنات,64.06
1136,46776,مدارس منارات ينبع الأهلية - ثانوي,ينبع,Madina,Domestic,تعليم عام بنات,64.03
1142,48919,ثانوية رياض القصيم الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,63.97
1151,96829,ثانوية  البشائر الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,63.9
1161,197035,ثانوية دار النهل الأهلية لتعليم الكبيرات,الرياض,Riyadh,Domestic,تعليم عام بنات,63.85
1168,35071,ثانوية الصرح النمودجية للبنات,جدة,Makkah,Domestic,تعليم عام بنات,63.82
1169,96639,ثانوية الشمس الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,63.82
1198,60810,ثانوية المحافظة الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,63.64
1207,48993,ثانوية المجد الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,63.58
1209,966815,ثانوية التربية النموذجية الأهلية (الروابي) - مقررات,الرياض,Riyadh,Domestic,مقررات,63.57
1215,28350,ثانوية صروح التربية الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,63.53
1218,78111,ثانوية علماء الغد الاهلية,تبوك,Tabuk,Domestic,تعليم عام بنات,63.51
1228,55922,ثانوية مدارس التربية والتعليم للبنات  بالدمام,الدمام,AlSharquia,Domestic,تعليم عام بنات,63.45
1231,59211,ثانوية البحار الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنات,63.44
1247,96668,ثانوية السنابل الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,63.28
1248,128857,ثانوية الطموح الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,63.27
1257,96750,ثانوية روابي الأندلس الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,63.21
1260,35217,ثانوية أكاديمية المعارف,جدة,Makkah,Domestic,تعليم عام بنات,63.2
1263,966735,ثانوية دار العلوم الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,63.18
1267,28389,ثانوية مواهب المملكة الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,63.13
1273,97187,ثانوية رواد الأمراء الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,63.07
1278,48982,ثانوية مناهل الإيمان الاهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,63.03
1293,980651,ثانوية مسار العلوم و المعرفة الأهلية,المزاحمية,Riyadh,Domestic,تعليم عام بنات,62.93
1311,97240,ثانوية علوم الرياض الأهلية - فرع الخليج,الرياض,Riyadh,Domestic,تعليم عام بنات,62.77
1313,96682,ثانوية العلا العربية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,62.77
1314,35342,ثانوية الأمجادالأولية,جدة,Makkah,Domestic,تعليم عام بنات,62.77
1333,35061,ثانوية روضة البوادي,جدة,Makkah,Domestic,تعليم عام بنات,62.68
1341,97472,ثانوية رحاب المعرفة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,62.64
1343,96666,ثانوية الزهراء الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,62.63
1344,51270,ثانوية الغصون,الرس,Qassim,Domestic,تعليم عام بنات,62.61
1346,51284,ثانوية الوعد الاهلية,الرس,Qassim,Domestic,تعليم عام بنات,62.59
1354,966255,ثانوية دار السلام الأهلية - مقررات,الرياض,Riyadh,Domestic,مقررات,62.5
1356,49042,ثانوية فجر القصيم الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,62.48
1360,63698,ثانوية  مدارس أبها الأهلية,أبها,Asser,Domestic,تعليم عام بنات,62.44
