ministerial_number,school_name,city,region,category,average,gender,exam_type,curriculum_track
54421,ثانوية اجيال المواهب الاهلية,الخبر,AlSharquia,تعليم عام بنين,88.41,male,achievement,scientific
53854,ثانوية الجامعة الأهلية,الخبر,AlSharquia,تعليم عام بنين,87.75,male,achievement,scientific
26504,ثانوية الفلاح الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,86.93,male,achievement,scientific
153006,ثانوية المشكاة الأهلية,الدمام,AlSharquia,تعليم عام بنين,86.05,male,achievement,scientific
11179,ثانوية نجد الأهلية,الرياض,Riyadh,تعليم عام بنين,85.57,male,achievement,scientific
11175,ثانوية منارات الرياض الأهلية,الرياض,Riyadh,مقررات,85.4,male,achievement,scientific
53936,ثانوية الانصار الأهلية,الدمام,AlSharquia,تعليم عام بنين,84.93,male,achievement,scientific
538485,ثانوية الحصان النموذجية الاهلية بالدمام - مقررات,الدمام,AlSharquia,مقررات,83.88,male,achievement,scientific
53853,ثانوية الظهران الاهلية - مقررات,الخبر,AlSharquia,مقررات,83.56,male,achievement,scientific
11380,ثانوية الغد الأهلية,الرياض,Riyadh,تعليم عام بنين,82.91,male,achievement,scientific
111903,ثانوية الرواد الأهلية - نظام المقررات,الرياض,Riyadh,مقررات,82.81,male,achievement,scientific
11176,ثانوية الرياض الأهلية,الرياض,Riyadh,مقررات,82.61,male,achievement,scientific
405625,مدارس منارات المدينة المنورة الأهلية - المرحلة الثانوية (مقررات),المدينة المنورة,Madina,مقررات,81.69,male,achievement,scientific
11183,ثانوية الخليج الأهلية,الرياض,Riyadh,تعليم عام بنين,81.43,male,achievement,scientific
405645,مدارس الخندق الأهلية - المرحلة الثانوية (مقررات),المدينة المنورة,Madina,مقررات,81.32,male,achievement,scientific
54225,ثانوية البسام الاهلية - مقررات,الدمام,AlSharquia,مقررات,80.98,male,achievement,scientific
76452,الملك عبدالعزيز الأهلية النموذجية الثانوية,تبوك,Tabuk,مقررات,80.3,male,achievement,scientific
532845,النصر الثانوية (نظام المقررات) الاهلية,جدة,Makkah,مقررات,79.94,male,achievement,scientific
538395,ثانوية الحصان النموذجية الاهلية بالجبيل - مقررات,الجبيل,AlSharquia,مقررات,79.7,male,achievement,scientific
32822,الفلاح الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,79.53,male,achievement,scientific
11292,ثانوية الأرقم الأهلية,الرياض,Riyadh,تعليم عام بنين,79.14,male,achievement,scientific
11185,ثانوية المناهج الأهلية,الرياض,Riyadh,تعليم عام بنين,78.92,male,achievement,scientific
33127,دار الذكر الثانوية الاهلية,جدة,Makkah,مقررات,78.67,male,achievement,scientific
29739,الأندلس الأهلية الثانوية,الطائف,Makkah,تعليم عام بنين,78.51,male,achievement,scientific
11392,ثانوية ابن خلدون الأهلية - النفل,الرياض,Riyadh,مقررات,78.23,male,achievement,scientific
11776,ثانوية ابن خلدون الأهلية - عرقة,الرياض,Riyadh,مقررات,78.22,male,achievement,scientific
110043,ثانوية الفرسان الأهلية - نظام المقررات,الرياض,Riyadh,مقررات,77.56,male,achievement,scientific
53852,ثانوية المنارات الاهلية بالدمام,الدمام,AlSharquia,تعليم عام بنين,77.52,male,achievement,scientific
153557,ثانوية المنارات الأهلية بالخبر ـ مقررات,الخبر,AlSharquia,مقررات,77.39,male,achievement,scientific
11178,ثانوية الفيصلية الأهلية,الرياض,Riyadh,تعليم عام بنين,77.17,male,achievement,scientific
53856,ثانوية التهذيب الأهلية,سيهات,AlSharquia,تعليم عام بنين,77.02,male,achievement,scientific
61541,ثانوية الرواد,خميس مشيط,Asser,تعليم عام بنين,76.63,male,achievement,scientific
26742,ثانوية عبدالرحمن فقيه,مكة المكرمة,Makkah,تعليم عام بنين,76.49,male,achievement,scientific
12343,ثانوية التعلم النموذجية الأهلية,الرياض,Riyadh,تعليم عام بنين,76.18,male,achievement,scientific
32832,جيل الفيصل الثانوية (فرع السبعين) الاهلية,جدة,Makkah,تعليم عام بنين,75.71,male,achievement,scientific
110044,ثانوية التربية النموذجية الأهلية - النزهة,الرياض,Riyadh,مقررات,75.66,male,achievement,scientific
57514,ثانوية الأنجال الأهلية,الأحساء,AlSharquia,تعليم عام بنين,75.57,male,achievement,scientific
10030,ثانوية رياض نجد الأهلية,الرياض,Riyadh,مقررات,75.32,male,achievement,scientific
11417,ثانوية التربية النموذجية الأهلية ـ الروابي,الرياض,Riyadh,مقررات,74.98,male,achievement,scientific
53843,ثانوية العزيزية الاهلية,الخبر,AlSharquia,تعليم عام بنين,74.94,male,achievement,scientific
11191,ثانوية العناية الأهلية,الرياض,Riyadh,تعليم عام بنين,74.83,male,achievement,scientific
116005,ثانوية الجامعة الأهلية مقررات,الخرج,Riyadh,مقررات,74.6,male,achievement,scientific
405615,مدارس العلوم الشرعية الأهلية - المرحلة الثانوية  (مقررات),المدينة المنورة,Madina,مقررات,74.58,male,achievement,scientific
32842,دار المعرفة الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,74.45,male,achievement,scientific
532882,الاقصى الأهلية (نظام المقررات),جدة,Makkah,مقررات,74.37,male,achievement,scientific
11181,ثانوية الشعلة الأهلية,الرياض,Riyadh,تعليم عام بنين,74.32,male,achievement,scientific
32834,رياض القران الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,73.92,male,achievement,scientific
54405,ثانوية السلام الاهلية بالخبر,الخبر,AlSharquia,تعليم عام بنين,73.72,male,achievement,scientific
154232,ثانوية نور الإسلام الأهلية بالدمام ـ مقررات,الدمام,AlSharquia,مقررات,73.49,male,achievement,scientific
32830,الاندلس الثانوية الأهلية,جدة,Makkah,مقررات,73.23,male,achievement,scientific
111909,ثانوية أطياب الأهلية - نظام المقررات,الرياض,Riyadh,مقررات,73.19,male,achievement,scientific
32835,الامجاد الثانية الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,73.04,male,achievement,scientific
53969,ثانوية رياض الإسلام الأهلية,الدمام,AlSharquia,تعليم عام بنين,72.96,male,achievement,scientific
33176,دار الرواد الثانوية الاهلية,جدة,Makkah,مقررات,72.88,male,achievement,scientific
110020,ثانوية المتقدمة الأهلية - نظام المقررات,الرياض,Riyadh,مقررات,72.7,male,achievement,scientific
40776,مدارس دار التربية الإسلامية الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,تعليم عام بنين,72.7,male,achievement,scientific
53939,ثانوية القطيف الاهلية,القطيف,AlSharquia,تعليم عام بنين,72.53,male,achievement,scientific
539385,ثانوية السعد الاهلية - مقررات,الخبر,AlSharquia,مقررات,72.52,male,achievement,scientific
33029,الاخاء الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,72.49,male,achievement,scientific
33066,ثغر جدة الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,72.46,male,achievement,scientific
33195,قرطبة الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,72.39,male,achievement,scientific
110016,ثانوية دار العلوم الأهلية - نظام المقررات,الرياض,Riyadh,مقررات,72.28,male,achievement,scientific
32993,التعاون الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,72.24,male,achievement,scientific
11202,ثانوية رياض الصالحين الأهلية,الرياض,Riyadh,تعليم عام بنين,72.2,male,achievement,scientific
57517,ثانوية دور العلوم الأهلية,الأحساء,AlSharquia,تعليم عام بنين,72.16,male,achievement,scientific
11213,ثانوية الإحسان الأهلية,الرياض,Riyadh,تعليم عام بنين,71.98,male,achievement,scientific
11474,ثانوية العليا الأهلية,الرياض,Riyadh,مقررات,71.97,male,achievement,scientific
54140,ثانوية اجيال الاقصى الاهلية,الخبر,AlSharquia,تعليم عام بنين,71.95,male,achievement,scientific
54163,ثانوية الاعتصام الأهلية,الدمام,AlSharquia,تعليم عام بنين,71.94,male,achievement,scientific
54045,ثانوية التربية الأهلية,الخبر,AlSharquia,تعليم عام بنين,71.86,male,achievement,scientific
54159,ثانوية الضاحية الاهلية,الدمام,AlSharquia,تعليم عام بنين,71.36,male,achievement,scientific
11196,ثانوية المنهل الأهلية,الرياض,Riyadh,تعليم عام بنين,71.24,male,achievement,scientific
54224,ثانوية محمد الفاتح الاهلية,الدمام,AlSharquia,تعليم عام بنين,70.98,male,achievement,scientific
133406,الأمجاد الثانويه الأهلية,جدة,Makkah,تعليم عام بنين,70.89,male,achievement,scientific
33212,المنارات الثانوية ( برابغ ) الاهلية,رابغ,Makkah,مقررات,70.86,male,achievement,scientific
110045,ثانوية نيار الأهلية - نظام المقررات,الرياض,Riyadh,مقررات,70.86,male,achievement,scientific
11212,ثانوية العربية الأهلية,الرياض,Riyadh,تعليم عام بنين,70.84,male,achievement,scientific
61846,ثانوية صدى الإبداع,خميس مشيط,Asser,تعليم عام بنين,70.79,male,achievement,scientific
11184,ثانوية الرواد الأهلية - الروابي,الرياض,Riyadh,تعليم عام بنين,70.47,male,achievement,scientific
133853,منارة جدة الثانويه الاهلية,جدة,Makkah,مقررات,70.22,male,achievement,scientific
11177,ثانوية التربية النموذجية الأهلية,الرياض,Riyadh,مقررات,69.86,male,achievement,scientific
11187,ثانوية المستقبل النموذجية الأهلية,الرياض,Riyadh,تعليم عام بنين,69.77,male,achievement,scientific
30059,صفوة الطليعة الاهلية الثانوية,الطائف,Makkah,تعليم عام بنين,69.75,male,achievement,scientific
10002,مدارس أكاديمية الكفاح الأهلية للتعليم – الثانوية نظام المقررات (بنين),الأحساء,AlSharquia,مقررات,69.47,male,achievement,scientific
11218,ثانوية الفلاح الأهلية,الرياض,Riyadh,تعليم عام بنين,69.45,male,achievement,scientific
61540,ثانوية الأندلس الأهلية بالخميس,خميس مشيط,Asser,تعليم عام بنين,69.2,male,achievement,scientific
12270,ثانوية السعودية الأهلية - نظام المقررات,الرياض,Riyadh,مقررات,68.9,male,achievement,scientific
32876,دار التربية الحديثة الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,68.66,male,achievement,scientific
11188,ثانوية التربية السعودية الأهلية,الرياض,Riyadh,تعليم عام بنين,68.39,male,achievement,scientific
11209,ثانوية الأمجاد الأهلية ـ نظام المقررات,الرياض,Riyadh,مقررات,68.36,male,achievement,scientific
11194,ثانوية المجد الأهلية - العريجاء,الرياض,Riyadh,تعليم عام بنين,68.16,male,achievement,scientific
54306,ثانوية النخبة العلمية الاهلية,الدمام,AlSharquia,تعليم عام بنين,67.8,male,achievement,scientific
32875,المجد الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,67.61,male,achievement,scientific
11238,ثانوية النبلاء الأهلية,الرياض,Riyadh,تعليم عام بنين,67.47,male,achievement,scientific
54114,ثانوية الهداية الأهلية,الدمام,AlSharquia,تعليم عام بنين,67.34,male,achievement,scientific
29770,تربية الأبناء الأهلية الثانوية,الطائف,Makkah,تعليم عام بنين,67.29,male,achievement,scientific
32995,النظامية الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,67.11,male,achievement,scientific
26502,ثانوية البشرى بالعوالي الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,67.07,male,achievement,scientific
54297,ثانوية شمس الجزيرة الاهلية,الدمام,AlSharquia,تعليم عام بنين,67.0,male,achievement,scientific
32977,دار الثقافة الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,66.96,male,achievement,scientific
16340,ثانوية الجامعة الأهلية,الخرج,Riyadh,تعليم عام بنين,66.86,male,achievement,scientific
61537,ثانوية الأندلس الأهلية بأبها,أبها,Asser,تعليم عام بنين,66.73,male,achievement,scientific
111895,ثانوية المدينة الأكاديمية الأهلية,الرياض,Riyadh,تعليم عام بنين,66.55,male,achievement,scientific
11198,ثانوية دار السلام الأهلية,الرياض,Riyadh,مقررات,66.47,male,achievement,scientific
26503,ثانوية ابن الصلاح الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,66.31,male,achievement,scientific
57557,مدارس أكاديمية الكفاح الأهلية للتعليم – الثانوية (بنين),الأحساء,AlSharquia,تعليم عام بنين,66.28,male,achievement,scientific
11219,ثانوية جرير الأهلية,الرياض,Riyadh,تعليم عام بنين,66.23,male,achievement,scientific
32846,أهلية البيان الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,66.13,male,achievement,scientific
11494,ثانوية الرواد الأهلية - المنصورة,الرياض,Riyadh,تعليم عام بنين,66.12,male,achievement,scientific
265051,ثانوية الأندلس مقررات الأهلية,مكة المكرمة,Makkah,مقررات,66.02,male,achievement,scientific
11208,ثانوية الإمام الشافعي الأهلية,الرياض,Riyadh,تعليم عام بنين,65.81,male,achievement,scientific
57692,ثانوية جواثا الأهلية,الأحساء,AlSharquia,تعليم عام بنين,65.66,male,achievement,scientific
40870,مدارس القلعة الحجازية الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,تعليم عام بنين,65.6,male,achievement,scientific
73934,ثانوية الفضيلة الأهلية,حائل,Hail,تعليم عام بنين,65.55,male,achievement,scientific
32879,جيل الفيصل الثانوية ( فرع الجامعة ) الاهلية,جدة,Makkah,تعليم عام بنين,65.53,male,achievement,scientific
11189,ثانوية التضامن الأهلية,الرياض,Riyadh,تعليم عام بنين,65.35,male,achievement,scientific
12084,ثانوية الجودة الأهلية ـ نظام المقررات,الرياض,Riyadh,مقررات,65.33,male,achievement,scientific
40597,مدارس الريان الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,تعليم عام بنين,65.28,male,achievement,scientific
11210,ثانوية البيان الأهلية,الرياض,Riyadh,تعليم عام بنين,65.06,male,achievement,scientific
11414,ثانوية المملكة الأهلية,الرياض,Riyadh,مقررات,64.68,male,achievement,scientific
11201,ثانوية السعودية الأهلية,الرياض,Riyadh,تعليم عام بنين,64.66,male,achievement,scientific
110042,ثانوية الابتكارية الأهلية - نظام المقررات,الرياض,Riyadh,مقررات,64.54,male,achievement,scientific
12080,ثانوية المتقدمة الأهلية - الشهداء,الرياض,Riyadh,تعليم عام بنين,64.48,male,achievement,scientific
32839,الأنجال الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,64.38,male,achievement,scientific
110793,ثانوية الابتكارية الأهلية -أشبيليا,الرياض,Riyadh,تعليم عام بنين,64.28,male,achievement,scientific
60309,المحافظه الأهلية الثانوية,حفر الباطن,AlSharquia,تعليم عام بنين,64.23,male,achievement,scientific
54194,ثانوية ربوة الشرقية الأهلية,الخبر,AlSharquia,تعليم عام بنين,63.9,male,achievement,scientific
76621,رياض الصالحين الأهلية الثانوية,تبوك,Tabuk,تعليم عام بنين,63.85,male,achievement,scientific
26513,ثانوية شعاع المعرفة الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,63.84,male,achievement,scientific
32921,الرحاب الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,63.51,male,achievement,scientific
11714,ثانوية القبس الأهلية,الرياض,Riyadh,تعليم عام بنين,63.46,male,achievement,scientific
11203,ثانوية النخبة الأهلية - المصيف,الرياض,Riyadh,تعليم عام بنين,63.42,male,achievement,scientific
12087,ثانوية رواد التربية الأهلية,الرياض,Riyadh,تعليم عام بنين,63.41,male,achievement,scientific
32849,الحجاز الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,63.36,male,achievement,scientific
29771,الشافي الأهلية الثانوية,الطائف,Makkah,تعليم عام بنين,63.31,male,achievement,scientific
21409,ثانوية الوسام الأهلية,القويعية,Riyadh,تعليم عام بنين,63.2,male,achievement,scientific
76669,عثمان بن عفان الأهلية الثانوية,تبوك,Tabuk,تعليم عام بنين,63.08,male,achievement,scientific
11704,ثانوية الفكر الأهلية,الرياض,Riyadh,تعليم عام بنين,62.99,male,achievement,scientific
113692,ثانوية معالم التربية الأهلية,الرياض,Riyadh,تعليم عام بنين,62.81,male,achievement,scientific
53842,ثانوية الخبر النموذجية الاهلية,الخبر,AlSharquia,تعليم عام بنين,62.77,male,achievement,scientific
11539,ثانوية الوسط الأهلية,الرياض,Riyadh,تعليم عام بنين,62.77,male,achievement,scientific
32922,انجال الصفوة الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,62.74,male,achievement,scientific
61538,ثانوية المناهل الأهلية بأبها,أبها,Asser,تعليم عام بنين,62.73,male,achievement,scientific
113851,ثانوية المطورون الأهلية,-,Riyadh,تعليم عام بنين,62.73,male,achievement,scientific
76771,مدارس منارات تبوك الأهلية للمرحلة الثانوية,تبوك,Tabuk,تعليم عام بنين,62.63,male,achievement,scientific
32843,الرضوان الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,62.62,male,achievement,scientific
32851,الضياء الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,62.58,male,achievement,scientific
111889,ثانوية شروق المعرفة النموذجية الأهلية,الرياض,Riyadh,تعليم عام بنين,62.41,male,achievement,scientific
11416,ثانوية الفتح الأهلية,الرياض,Riyadh,تعليم عام بنين,62.38,male,achievement,scientific
26618,ثانوية الإبداع الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,62.35,male,achievement,scientific
11214,ثانوية عهد الأهلية,الرياض,Riyadh,تعليم عام بنين,62.34,male,achievement,scientific
11594,ثانوية رياض التربية الحديثة الأهلية,الرياض,Riyadh,تعليم عام بنين,62.19,male,achievement,scientific
76519,تبوك النموذجية الاهلية  الثانوية,تبوك,Tabuk,تعليم عام بنين,62.15,male,achievement,scientific
157385,ثانوية الأحساء النموذجية الأهلية,الأحساء,AlSharquia,تعليم عام بنين,62.11,male,achievement,scientific
11563,ثانوية السمو الأهلية,الرياض,Riyadh,تعليم عام بنين,61.99,male,achievement,scientific
11389,ثانوية علوم الرياض الأهلية - الصحافة,الرياض,Riyadh,تعليم عام بنين,61.96,male,achievement,scientific
11186,ثانوية شبه الجزيرة الأهلية,الرياض,Riyadh,تعليم عام بنين,61.93,male,achievement,scientific
54204,ثانوية اليرموك الاهلية,الظهران,AlSharquia,تعليم عام بنين,61.87,male,achievement,scientific
47543,ثانوية منارات القصيم,بريدة,Qassim,تعليم عام بنين,61.86,male,achievement,scientific
16248,ثانوية فرسان الجزيرة الأهلية - عام,الخرج,Riyadh,تعليم عام بنين,61.79,male,achievement,scientific
12228,ثانوية التميز التربوي الأهلية,الرياض,Riyadh,تعليم عام بنين,61.72,male,achievement,scientific
53855,ثانوية الخط الاهلية,القطيف,AlSharquia,تعليم عام بنين,61.64,male,achievement,scientific
54172,ثانوية بشائر الجزيرة الاهلية,الخبر,AlSharquia,تعليم عام بنين,61.6,male,achievement,scientific
54261,ثانوية نخبة الأجيال الأهلية,الجبيل,AlSharquia,تعليم عام بنين,61.48,male,achievement,scientific
26535,ثانوية المعرفة الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,61.41,male,achievement,scientific
32828,أنجال العقيق الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,61.36,male,achievement,scientific
11493,ثانوية المعالي الأهلية,الرياض,Riyadh,تعليم عام بنين,61.34,male,achievement,scientific
84352,العمرية الأهلية - الثانوية,سكاكا,Gouf,تعليم عام بنين,61.2,male,achievement,scientific
29800,الجيل الأهلية الثانوية,الطائف,Makkah,تعليم عام بنين,61.08,male,achievement,scientific
11294,ثانوية الرشد الأهلية,الرياض,Riyadh,تعليم عام بنين,61.06,male,achievement,scientific
53844,ثانوية الملك عبدالعزيز الأهلية,الخبر,AlSharquia,تعليم عام بنين,60.99,male,achievement,scientific
11684,ثانوية الرقي الأهلية,الرياض,Riyadh,تعليم عام بنين,60.97,male,achievement,scientific
61721,ثانوية رياض الخميس الأهلية,خميس مشيط,Asser,تعليم عام بنين,60.81,male,achievement,scientific
161045,مدارس التميز الابداعي الثانوية,خميس مشيط,Asser,تعليم عام بنين,60.79,male,achievement,scientific
11216,ثانوية آفاق البديعة الأهلية,الرياض,Riyadh,تعليم عام بنين,60.77,male,achievement,scientific
86230,ثانوية السلام الأهلية,-,Gouf,تعليم عام بنين,60.75,male,achievement,scientific
40834,مدارس العقيق الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,تعليم عام بنين,60.74,male,achievement,scientific
132195,الفيصلية الثانوية الاهلية فرع الفلاح,جدة,Makkah,تعليم عام بنين,60.67,male,achievement,scientific
11190,ثانوية الجيل الأهلية,الرياض,Riyadh,تعليم عام بنين,60.6,male,achievement,scientific
11557,ثانوية البيارق الأهلية,الرياض,Riyadh,تعليم عام بنين,60.52,male,achievement,scientific
11415,ثانوية الأندلس الأهلية,الرياض,Riyadh,تعليم عام بنين,60.52,male,achievement,scientific
26583,ثانوية الأنجال الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,60.47,male,achievement,scientific
26738,ثانوية الفرسان المكية الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,60.46,male,achievement,scientific
29941,الخليل بن أحمد الأهلية الثانوية,الطائف,Makkah,تعليم عام بنين,60.33,male,achievement,scientific
11217,ثانوية الشمس الأهلية,الرياض,Riyadh,تعليم عام بنين,60.31,male,achievement,scientific
32833,الفيصلية الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,60.16,male,achievement,scientific
146037,الحديثة الثانوية  المقررات,ينبع,Madina,مقررات,60.12,male,achievement,scientific
53846,ثانوية الشرق الاهلية,الخفجي,AlSharquia,تعليم عام بنين,60.1,male,achievement,scientific
110554,ثانوية آفاق السويدي الأهلية,الرياض,Riyadh,تعليم عام بنين,60.07,male,achievement,scientific
86235,ثانوية مجد العلوم الاهلية,القريات,Gouf,تعليم عام بنين,59.96,male,achievement,scientific
60351,منار السبيل الأهلية الثانوية,حفر الباطن,AlSharquia,تعليم عام بنين,59.91,male,achievement,scientific
11180,ثانوية الأقصى الأهلية,الرياض,Riyadh,تعليم عام بنين,59.85,male,achievement,scientific
76750,أملج الأهلية الثانوية,أملج,Tabuk,تعليم عام بنين,59.83,male,achievement,scientific
32824,المعهد العربي السعودي الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,59.8,male,achievement,scientific
47868,ثانوية الرواد-بالبدائع,البدائع,Qassim,تعليم عام بنين,59.73,male,achievement,scientific
47638,ثانوية الرواد الأهلية,بريدة,Qassim,تعليم عام بنين,59.66,male,achievement,scientific
26584,ثانوية الفرقان بالحمراء الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,59.64,male,achievement,scientific
40594,مدارس القصواء الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,تعليم عام بنين,59.64,male,achievement,scientific
26548,ثانوية الفضل الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,59.6,male,achievement,scientific
86190,ثانوية القريات الأهلية,القريات,Gouf,تعليم عام بنين,59.59,male,achievement,scientific
54228,ثانوية رواد السلام الأهلية,الدمام,AlSharquia,تعليم عام بنين,59.56,male,achievement,scientific
10739,ثانوية دار الصفوة الأهلية,الرياض,Riyadh,تعليم عام بنين,59.5,male,achievement,scientific
111934,ثانوية العاصمة الأهلية,-,Riyadh,تعليم عام بنين,59.47,male,achievement,scientific
11197,ثانوية المواهب الأهلية,الرياض,Riyadh,تعليم عام بنين,59.46,male,achievement,scientific
40774,مدارس الأوس الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,تعليم عام بنين,59.4,male,achievement,scientific
32838,المشرق الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,59.3,male,achievement,scientific
162211,مدارس الذكر النموذجية الاهلية الثانوية,خميس مشيط,Asser,تعليم عام بنين,59.3,male,achievement,scientific
61539,ثانوية ابها الأهلية,أبها,Asser,تعليم عام بنين,59.19,male,achievement,scientific
17346,ثانوية الدوادمي الاهلية,الدوادمي,Riyadh,تعليم عام بنين,59.15,male,achievement,scientific
110038,ثانوية أجيال الحضارة الأهلية,الرياض,Riyadh,تعليم عام بنين,59.12,male,achievement,scientific
11413,ثانوية الامتياز الأهلية,الرياض,Riyadh,تعليم عام بنين,59.1,male,achievement,scientific
16264,ثانوية النخبة الأهلية,الخرج,Riyadh,تعليم عام بنين,58.99,male,achievement,scientific
11296,ثانوية العبير الأهلية,الرياض,Riyadh,تعليم عام بنين,58.95,male,achievement,scientific
26755,ثانوية العلم النافع الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,58.95,male,achievement,scientific
83326,ثانوية رياض الفكر الأهلية بعرعر,عرعر,Northern borders,تعليم عام بنين,58.91,male,achievement,scientific
57728,ثانوية رؤية المستقبل الأهلية,الأحساء,AlSharquia,تعليم عام بنين,58.88,male,achievement,scientific
73608,ثانوية النموذجية الأهلية,حائل,Hail,تعليم عام بنين,58.85,male,achievement,scientific
84257,الرحمانية الأهلية - الثانوية,سكاكا,Gouf,تعليم عام بنين,58.81,male,achievement,scientific
83332,ثانوية واحة المعرفة الأهلية,عرعر,Northern borders,تعليم عام بنين,58.79,male,achievement,scientific
93547,دار الأحفاد الأهلية الثانوية,نجران,Najran,تعليم عام بنين,58.71,male,achievement,scientific
57686,ثانوية النخبة النموذجية الأهلية,الأحساء,AlSharquia,تعليم عام بنين,58.7,male,achievement,scientific
53851,ثانوية المباركية الاهلية,الدمام,AlSharquia,تعليم عام بنين,58.68,male,achievement,scientific
57739,ثانوية ديوان النهضة الأهلية,-,AlSharquia,تعليم عام بنين,58.64,male,achievement,scientific
11616,ثانوية الهدى الأهلية,الرياض,Riyadh,تعليم عام بنين,58.54,male,achievement,scientific
187053,ثانوية منارات المجد الأهلية,جازان,Jazan,تعليم عام بنين,58.53,male,achievement,scientific
30255,عرين العلم الأهلية الثانوية,الخرمة,Makkah,تعليم عام بنين,58.42,male,achievement,scientific
11211,ثانوية السنابل الأهلية,الرياض,Riyadh,تعليم عام بنين,58.4,male,achievement,scientific
32848,الإخلاص الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,58.37,male,achievement,scientific
53849,ثانوية التطوير الأهلية,الدمام,AlSharquia,تعليم عام بنين,58.35,male,achievement,scientific
133263,الشبل الثانوية الأهلية / فرع الصالحية,جدة,Makkah,تعليم عام بنين,58.32,male,achievement,scientific
54237,ثانوية الناصرية الاهلية,بقيق,AlSharquia,تعليم عام بنين,58.32,male,achievement,scientific
57725,ثانوية ديوان المعارف  الأهلية,الأحساء,AlSharquia,تعليم عام بنين,58.32,male,achievement,scientific
79971,ثانوية دار الفيصل الاهلية,الباحة,Baha,تعليم عام بنين,58.31,male,achievement,scientific
61845,ثانوية رواد أبها,أبها,Asser,تعليم عام بنين,58.28,male,achievement,scientific
11461,ثانوية المنهاج الأهلية,الرياض,Riyadh,مقررات,58.22,male,achievement,scientific
54142,ثانوية الاوائل الاهلية,جسر الملك فهد,AlSharquia,تعليم عام بنين,58.2,male,achievement,scientific
53850,ثانوية الاهلية الحديثة,الدمام,AlSharquia,تعليم عام بنين,58.19,male,achievement,scientific
32877,روضة جدة الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,58.14,male,achievement,scientific
32837,المنهل الثقافي الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,58.01,male,achievement,scientific
40563,مدارس دار الهجرة الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,تعليم عام بنين,58.0,male,achievement,scientific
61790,ثانوية شروق المعرفة الأهلية,أبها,Asser,تعليم عام بنين,57.99,male,achievement,scientific
12263,ثانوية الثغر النموذجية الأهلية,الرياض,Riyadh,تعليم عام بنين,57.98,male,achievement,scientific
61503,ثانوية مناهل الجامعة الأهلية بالخميس,خميس مشيط,Asser,تعليم عام بنين,57.94,male,achievement,scientific
32963,السلامة الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,57.9,male,achievement,scientific
30254,صفوة الفرسان الأهلية الثانوية,الطائف,Makkah,تعليم عام بنين,57.89,male,achievement,scientific
53970,ثانوية مناهل الجزيرة الاهلية,الخبر,AlSharquia,تعليم عام بنين,57.83,male,achievement,scientific
11495,ثانوية الصحافة الأهلية,الرياض,Riyadh,تعليم عام بنين,57.78,male,achievement,scientific
26607,ثانوية البشرى بالزاهر الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,57.72,male,achievement,scientific
186461,ثانوية نبراس القريات الاهلية,القريات,Gouf,تعليم عام بنين,57.66,male,achievement,scientific
