ministerial_number,school_name,city,region,category,average,gender,exam_type,curriculum_track
30293,انجال النخبة الأهلية بالحوية الثانوية,الطائف,Makkah,تعليم عام بنين,59.73,male,capabilities,scientific
184013,مدارس فرسان الجوبة الأهلية,سكاكا,Gouf,تعليم عام بنين,59.64,male,capabilities,scientific
12213,ثانوية أجيال اليمامة الأهلية,الرياض,Riyadh,تعليم عام بنين,59.63,male,capabilities,scientific
60423,الأكاديمية العصرية الأهلية الثانوية,حفر الباطن,AlSharquia,تعليم عام بنين,59.63,male,capabilities,scientific
76450,الشمال الأهلية الثانوية,تبوك,Tabuk,تعليم عام بنين,59.52,male,capabilities,scientific
11773,ثانوية جيل الريادة الأهلية,الرياض,Riyadh,تعليم عام بنين,59.34,male,capabilities,scientific
52246,ثانوية منارات عنيزة الأهلية,عنيزة,Qassim,تعليم عام بنين,59.31,male,capabilities,scientific
30096,أنجال المملكة الأهلية الثانوية,الطائف,Makkah,تعليم عام بنين,59.3,male,capabilities,scientific
11538,ثانوية النظامية الأهلية,الرياض,Riyadh,تعليم عام بنين,59.27,male,capabilities,scientific
146363,ثانوية أجيال ينبع الاهلية,ينبع,Madina,تعليم عام بنين,59.17,male,capabilities,scientific
30143,أنجال المملكة الأهلية بالحوية الثانوية,الطائف,Makkah,تعليم عام بنين,59.08,male,capabilities,scientific
93653,ديوان المعرفة الأهلية الثانوية,نجران,Najran,تعليم عام بنين,58.99,male,capabilities,scientific
47554,ثانوية رياض القصيم الأهلية,بريدة,Qassim,تعليم عام بنين,58.99,male,capabilities,scientific
23316,أجيالكم الأهلية الثانوية,عفيف,Riyadh,تعليم عام بنين,58.97,male,capabilities,scientific
11314,ثانوية رماح الأهلية,الصملة,Riyadh,تعليم عام بنين,58.8,male,capabilities,scientific
26619,ثانوية الفرقان بالشرائع الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,58.77,male,capabilities,scientific
23332,ثانوية الاشراق الحديثة,عفيف,Riyadh,تعليم عام بنين,58.7,male,capabilities,scientific
12094,ثانوية قرطبة الأهلية,الرياض,Riyadh,تعليم عام بنين,58.57,male,capabilities,scientific
57695,ثانوية منارات الخالدية  الأهلية,الأحساء,AlSharquia,تعليم عام بنين,58.49,male,capabilities,scientific
14228,ثانوية رواد الأفلاج الأهلية,-,Riyadh,تعليم عام بنين,58.49,male,capabilities,scientific
17497,ثانوية أجيال ساجر الأهلية,ساجر,Riyadh,تعليم عام بنين,58.39,male,capabilities,scientific
47842,ثانوية أنجال المستقبل الاهلية,المذنب,Qassim,تعليم عام بنين,58.36,male,capabilities,scientific
188470,ثانوية نخبة جازان الأهلية,أبو عريش,Jazan,تعليم عام بنين,58.35,male,capabilities,scientific
17485,ثانوية علوم الرواد الأهلية,الدوادمي,Riyadh,تعليم عام بنين,58.29,male,capabilities,scientific
17519,ثانوية أنجال التربية الأهلية بالبجادية,البجادية,Riyadh,تعليم عام بنين,58.2,male,capabilities,scientific
33180,طلائع الفكر الثانوية ( برابغ ) الاهلية,رابغ,Makkah,تعليم عام بنين,58.03,male,capabilities,scientific
60393,الأوائل الأهلية الثانوية,حفر الباطن,AlSharquia,تعليم عام بنين,58.03,male,capabilities,scientific
193009,المعارف الاهلية الثانوية,نجران,Najran,تعليم عام بنين,57.94,male,capabilities,scientific
184002,ثانوية التحكيم الاهلية,دومة الجندل,Gouf,تعليم عام بنين,57.84,male,capabilities,scientific
60433,فرسان الإبداع  الثانوية الأهلية,حفر الباطن,AlSharquia,تعليم عام بنين,57.82,male,capabilities,scientific
160009,الرسالة النموذجية الاهلية الثانوية,حفر الباطن,AlSharquia,تعليم عام بنين,57.64,male,capabilities,scientific
187644,ثانوية اجياد التميز,أبو عريش,Jazan,تعليم عام بنين,57.56,male,capabilities,scientific
60387,شعلة الإيمان الأهلية الثانوية,حفر الباطن,AlSharquia,تعليم عام بنين,57.48,male,capabilities,scientific
20285,ثانوية المجمعة النموذجية الأولى الأهلية,المجمعة,Riyadh,تعليم عام بنين,57.42,male,capabilities,scientific
21489,ثانوية السيرة الحسنة الأهلية,الرويضه بالعرض,Riyadh,تعليم عام بنين,57.12,male,capabilities,scientific
160010,سفراء الغد الأهلية الثانوية,حفر الباطن,AlSharquia,تعليم عام بنين,57.11,male,capabilities,scientific
