General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
1080,22369,ثانوية اجيال المعرفة الاهلية بنات,القويعية,Riyadh,Domestic,تعليم عام بنات,68.29
1085,195101,ثانوية نخبة نجد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,68.26
1094,127542,ثانوية الفرسان المكية الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,68.18
1095,83783,ثانوية بنات الغد الأهلية بعرعر-بنات,عرعر,Northern borders,Domestic,تعليم عام بنات,68.18
1103,42341,مدارس الصفوة الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,68.08
1109,96661,ثانوية دار المعرفة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,68.04
1113,83874,ثانوية شموس رفحاء برفحاء,رفحاء,Northern borders,Domestic,تعليم عام بنات,68.01
1117,69131,ثانوية مدارس الامجاد الاهلية بخميس مشيط,خميس مشيط,Asser,Domestic,تعليم عام بنات,67.98
1138,97187,ثانوية رواد الأمراء الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.79
1147,31547,ثانوية صروح العلم والتربية الأهلية بالطائف,الطائف,Makkah,Domestic,تعليم عام بنات,67.73
1151,35511,ثانوية نور الإيمان,جدة,Makkah,Domestic,تعليم عام بنات,67.71
1152,78232,ثانوية العصرالنموذجية الأهلية-نظام مقررات بتبوك,تبوك,Tabuk,Domestic,مقررات,67.71
1153,95079,ثانوية قرطبة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.71
1167,97101,ثانوية الجيل الصالح الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.57
1173,96750,ثانوية روابي الأندلس الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.55
1174,35344,ثانوية الشورى,جدة,Makkah,Domestic,تعليم عام بنات,67.54
1185,96668,ثانوية السنابل الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.52
1191,18572,ثانوية الدوادمي الاهلية,الدوادمي,Riyadh,Domestic,تعليم عام بنات,67.49
1204,120987,ثانوية منارات المجمعة,المجمعة,Riyadh,Domestic,تعليم عام بنات,67.44
1205,97201,ثانوية شروق المعرفة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.43
1208,48963,ثانوية البيان الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,67.41
1212,59211,ثانوية البحار الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنات,67.36
1228,96978,ثانوية الإمتياز الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.25
1230,96851,ثانوية نبع العلوم الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.24
1233,28235,ثانوية سمو الأنجال الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,67.22
1242,96032,ثانوية وسائل الشروق الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.16
1253,35343,ثانوية الكوثر النموذجية,جدة,Makkah,Domestic,تعليم عام بنات,67.1
1259,16776,ثانوية فرسان الجزيرة الأهلية بالخرج,الخرج,Riyadh,Domestic,تعليم عام بنات,67.07
1261,78111,ثانوية علماء الغد الاهلية,تبوك,Tabuk,Domestic,تعليم عام بنات,67.05
1286,49084,ثانوية الريادة الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,66.88
1288,97268,ثانوية التنويرالأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.87
1290,96682,ثانوية العلا العربية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.87
1295,46843,مدارس الحديثة الأهلية للبنات - ثانوي,ينبع,Madina,Domestic,تعليم عام بنات,66.81
1299,195057,ثانوية أجيال الحضارة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.78
1301,48919,ثانوية رياض القصيم الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,66.77
1315,97467,ثانوية الفنار الأهلية,لبن,Riyadh,Domestic,تعليم عام بنات,66.67
1317,35144,ثانوية فتاة المستقبل,جدة,Makkah,Domestic,تعليم عام بنات,66.65
1321,97272,ثانوية دار القلم الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.62
1324,28402,ثانوية أجيال الوفاء الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,66.61
1325,35457,ثانوية رائدات المستقبل,جدة,Makkah,Domestic,تعليم عام بنات,66.6
1345,60762,ثانوية  تربية الأجيال الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,66.45
1346,96680,ثانوية المنهاج الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.44
1348,35216,ثانوية جيل الحضارة الاهلية,جدة,Makkah,Domestic,تعليم عام بنات,66.41
1355,96683,ثانوية العبير الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.38
1360,18563,ثانوية انجال التربية الأهلية,الدوادمي,Riyadh,Domestic,تعليم عام بنات,66.33
1363,97390,ثانوية دار النهل الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.33
1364,96980,ثانوية الديوان الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.32
1376,97240,ثانوية علوم الرياض الأهلية - فرع الخليج,الرياض,Riyadh,Domestic,تعليم عام بنات,66.21
1400,95992,ثانوية العروبة الاهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.02
1402,85392,ثانوية التجديد الاهليه,سكاكا,Gouf,Domestic,تعليم عام بنات,66
1419,25509,ثانوية اقرأ الأهلية,شقراء,Riyadh,Domestic,تعليم عام بنات,65.9
1435,18567,ثانوية أجيال الدوادمي الأهلية,الدوادمي,Riyadh,Domestic,تعليم عام بنات,65.76
1443,46741,مدارس رائدات الشرق الأهلية ثانوي,ينبع,Madina,Domestic,تعليم عام بنات,65.69
1452,46776,مدارس منارات ينبع الأهلية - ثانوي,ينبع,Madina,Domestic,تعليم عام بنات,65.63
1502,97472,ثانوية رحاب المعرفة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,65.28
1508,96829,ثانوية  البشائر الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,65.22
1515,96240,ثانوية الزيادي الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,65.15
1530,980651,ثانوية مسار العلوم و المعرفة الأهلية,المزاحمية,Riyadh,Domestic,تعليم عام بنات,65.04
1539,60825,ثانوية بيان المعرفة الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,64.97
1551,48918,ثانوية أنجال القصيم الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,64.88
1555,77933,ثانوية الشمال النموذجية بتبوك,تبوك,Tabuk,Domestic,تعليم عام بنات,64.86
1575,97406,ثانوية الأثير الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,64.71
1581,186879,ثانوية بيت القيم الاهلية بالقريات,القريات,Gouf,Domestic,تعليم عام بنات,64.6
1596,185009,ثانوية منهاج الرسالة الأهلية,سكاكا,Gouf,Domestic,تعليم عام بنات,64.42
1597,77930,ثانوية دار الحنان النموذجية بتبوك,تبوك,Tabuk,Domestic,تعليم عام بنات,64.42
1616,60844,ثانوية نور التوحيد الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,64.23
1623,128857,ثانوية الطموح الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,64.16
1627,97070,ثانوية أضواء الرياض الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,64.13
1646,89463,ثانوية  مدارس جازان الأهلية للبنات,جازان,Jazan,Domestic,تعليم عام بنات,63.94
1650,28389,ثانوية مواهب المملكة الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,63.91
1667,83801,ثانوية أنجال رفحاء الأهلية-بنات,رفحاء,Northern borders,Domestic,تعليم عام بنات,63.74
1683,118004,ثانوية نهج التميز الأهلية,ساجر,Riyadh,Domestic,تعليم عام بنات,63.58
1697,185634,ثانوية وارفة العلم الأهلية,سكاكا,Gouf,Domestic,تعليم عام بنات,63.42
1724,86699,ثانوية القريات الاهلية,القريات,Gouf,Domestic,تعليم عام بنات,63.17
1730,60817,ثانوية الأكاديمية العصرية الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,63.12
1736,28321,ثانوية الفضل الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,63.06
1738,197237,ثانوية مداد البيان الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,63.03
