General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
1119,96659,ثانوية المشاعل الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,68.32
1120,97268,ثانوية التنويرالأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,68.31
1123,163658,ثانوية الذكر النموذجية الاهلية,خميس مشيط,Asser,Domestic,تعليم عام بنات,68.29
1131,55922,ثانوية مدارس التربية والتعليم للبنات  بالدمام,الدمام,AlSharquia,Domestic,تعليم عام بنات,68.21
1132,35074,ثانوية الألفية الجديدة,جدة,Makkah,Domestic,تعليم عام بنات,68.2
1137,96682,ثانوية العلا العربية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,68.16
1142,196829,ثانوية دار الصفوة,الرياض,Riyadh,Domestic,تعليم عام بنات,68.11
1144,97389,ثانوية منارات اليمامة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,68.1
1149,35040,ثانوية نهار الوفاء,جدة,Makkah,Domestic,تعليم عام بنات,68.05
1151,35076,ثانوية حطين,جدة,Makkah,Domestic,تعليم عام بنات,68.02
1178,96851,ثانوية نبع العلوم الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.64
1180,52655,ثانوية المنارات بمحافظة عنيزة,عنيزة,Qassim,Domestic,تعليم عام بنات,67.62
1182,97201,ثانوية شروق المعرفة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.61
1183,35145,ثانوية الشعلة,جدة,Makkah,Domestic,تعليم عام بنات,67.59
1185,97101,ثانوية الجيل الصالح الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.57
1201,42271,مدارس المعتز بالله الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,67.41
1205,63499,ثانوية شركة  الاندلس الاهلية بخميس مشيط,خميس مشيط,Asser,Domestic,تعليم عام بنات,67.38
1210,95521,ثانوية القبس الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.36
1214,77953,ثانوية العصرالنموذجية الأهلية بتبوك,تبوك,Tabuk,Domestic,تعليم عام بنات,67.31
1216,95068,ثانوية الرقي الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.3
1222,78232,ثانوية العصرالنموذجية الأهلية-نظام مقررات بتبوك,تبوك,Tabuk,Domestic,مقررات,67.18
1224,96971,ثانوية البيارق الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.18
1240,63502,ثانوية شركة مدارس الرواد الاهلية للبنات,خميس مشيط,Asser,Domestic,تعليم عام بنات,67
1241,95079,ثانوية قرطبة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67
1243,42341,مدارس الصفوة الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,66.97
1244,96648,ثانوية واحة التربية الحديثة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.96
1258,96747,ثانوية القلم الاهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.83
1259,35342,ثانوية الأمجادالأولية,جدة,Makkah,Domestic,تعليم عام بنات,66.82
1266,16772,ثانوية النخبة الأهلية بالخرج,الخرج,Riyadh,Domestic,تعليم عام بنات,66.74
1274,96671,ثانوية التوحيد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.69
1279,59211,ثانوية البحار الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنات,66.64
1282,96750,ثانوية روابي الأندلس الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.59
1286,31236,ثانوية الفيصلية الأهلية بالطائف,الطائف,Makkah,Domestic,تعليم عام بنات,66.54
1288,97272,ثانوية دار القلم الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.54
1290,42248,مدارس دار الهجرة الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,Domestic,تعليم عام بنات,66.5
1292,78111,ثانوية علماء الغد الاهلية,تبوك,Tabuk,Domestic,تعليم عام بنات,66.49
1293,49823,ثانوية أنجال المستقبل الأهلية بالبكيرية,البكيرية,Qassim,Domestic,تعليم عام بنات,66.46
1295,28402,ثانوية أجيال الوفاء الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,66.44
1298,31235,ثانوية أنجال المملكة الأهلية بالطائف,الطائف,Makkah,Domestic,تعليم عام بنات,66.43
1299,63698,ثانوية  مدارس أبها الأهلية,أبها,Asser,Domestic,تعليم عام بنات,66.43
1308,97187,ثانوية رواد الأمراء الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.32
1323,56002,ثانوية مدارس الخليج النموذجية الأهلية للبنات بالدمام,الدمام,AlSharquia,Domestic,تعليم عام بنات,66.12
1327,96902,ثانوية رائدة السلام الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.05
1331,97183,ثانوية رواد التربية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,65.99
1335,195101,ثانوية نخبة نجد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,65.91
1349,96980,ثانوية الديوان الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,65.77
1357,28235,ثانوية سمو الأنجال الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,65.68
1366,195057,ثانوية أجيال الحضارة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,65.59
1370,162517,ثانوية مدارس رياض الخميس الاهلية للبنات,خميس مشيط,Asser,Domestic,تعليم عام بنات,65.56
1372,95992,ثانوية العروبة الاهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,65.53
1378,35061,ثانوية روضة البوادي,جدة,Makkah,Domestic,تعليم عام بنات,65.47
1381,97467,ثانوية الفنار الأهلية,لبن,Riyadh,Domestic,تعليم عام بنات,65.45
1390,55940,ثانوية مدارس الملك فهد الأهلية للبنات,الخبر,AlSharquia,Domestic,تعليم عام بنات,65.31
1394,51270,ثانوية الغصون,الرس,Qassim,Domestic,تعليم عام بنات,65.24
1397,16776,ثانوية فرسان الجزيرة الأهلية بالخرج,الخرج,Riyadh,Domestic,تعليم عام بنات,65.22
1399,96668,ثانوية السنابل الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,65.2
1400,63497,ثانوية شركة الأندلس الخضراء للخدمات التعليمية والتربوية بابها,أبها,Asser,Domestic,تعليم عام بنات,65.18
1416,51284,ثانوية الوعد الاهلية,الرس,Qassim,Domestic,تعليم عام بنات,65.05
1418,96680,ثانوية المنهاج الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,64.96
1419,96677,ثانوية التقوى الإسلامية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,64.96
1420,77965,ثانوية رياض الصالحين النموذجية الأهلية بتبوك,تبوك,Tabuk,Domestic,تعليم عام بنات,64.92
1431,35081,ثانوية الخنساء,جدة,Makkah,Domestic,تعليم عام بنات,64.82
1435,35216,ثانوية جيل الحضارة الاهلية,جدة,Makkah,Domestic,تعليم عام بنات,64.75
1439,97390,ثانوية دار النهل الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,64.67
1443,97240,ثانوية علوم الرياض الأهلية - فرع الخليج,الرياض,Riyadh,Domestic,تعليم عام بنات,64.62
1445,96657,ثانوية الفتح الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,64.61
1446,28357,ثانوية البتول الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,64.6
1452,35181,ثانوية رياض الأطفال,جدة,Makkah,Domestic,تعليم عام بنات,64.52
1457,96978,ثانوية الإمتياز الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,64.49
1462,96666,ثانوية الزهراء الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,64.41
1463,96829,ثانوية  البشائر الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,64.4
1464,96661,ثانوية دار المعرفة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,64.35
1474,96653,ثانوية الشفا الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,64.16
1482,69131,ثانوية مدارس الامجاد الاهلية بخميس مشيط,خميس مشيط,Asser,Domestic,تعليم عام بنات,64.06
1485,96683,ثانوية العبير الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,64.03
1487,46843,مدارس الحديثة الأهلية للبنات - ثانوي,ينبع,Madina,Domestic,تعليم عام بنات,63.97
1490,63503,ثانوية شركة مدارس خميس مشيط الاهلية,خميس مشيط,Asser,Domestic,تعليم عام بنات,63.85
1497,31429,ثانوية واحة الفكر الأهلية بالطائف,الطائف,Makkah,Domestic,تعليم عام بنات,63.68
1498,18572,ثانوية الدوادمي الاهلية,الدوادمي,Riyadh,Domestic,تعليم عام بنات,63.66
1501,96032,ثانوية وسائل الشروق الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,63.65
1503,63501,ثانوية مناهل الجامعة للبنات بخميس مشيط,خميس مشيط - النخيل,Asser,Domestic,تعليم عام بنات,63.6
1517,35144,ثانوية فتاة المستقبل,جدة,Makkah,Domestic,تعليم عام بنات,63.41
1537,35457,ثانوية رائدات المستقبل,جدة,Makkah,Domestic,تعليم عام بنات,63.1
1541,97472,ثانوية رحاب المعرفة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,63.04
1548,60810,ثانوية المحافظة الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,62.91
1553,120987,ثانوية منارات المجمعة,المجمعة,Riyadh,Domestic,تعليم عام بنات,62.82
