General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
1015,53970,ثانوية مناهل الجزيرة الاهلية,الخبر,AlSharquia,Domestic,تعليم عام بنين,64.34
1017,23335,ثانوية الأجيال الحديثة الأهلية,عفيف,Riyadh,Domestic,تعليم عام بنين,64.34
1024,11461,ثانوية المنهاج الأهلية,الرياض,Riyadh,Domestic,مقررات,64.29
1025,26547,ثانوية الثقافة الأهلية,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,64.28
1033,30255,عرين العلم الأهلية الثانوية,الخرمة,Makkah,Domestic,تعليم عام بنين,64.21
1039,110060,ثانوية النمو الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,64.18
1043,47545,ثانوية أنجال القصيم,بريدة,Qassim,Domestic,تعليم عام بنين,64.17
1051,93547,دار الأحفاد الأهلية الثانوية,نجران,Najran,Domestic,تعليم عام بنين,64.12
1052,11205,ثانوية التقوى الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,64.11
1053,11708,ثانوية النوابغ الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,64.1
1056,33053,المناهل الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,64.06
1058,53660,ثانوية الجبيل الأهلية,الجبيل,AlSharquia,Domestic,تعليم عام بنين,64.06
1063,153067,ثانوية الصفا الحديثة الأهلية,صفوى,AlSharquia,Domestic,تعليم عام بنين,64.02
1064,12093,ثانوية دار القلم الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,64
1075,11459,ثانوية شروق المعرفة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,63.93
1091,179906,ثانوية دار الفيصل الأهلية ببلجرشي,بلجرشي,Baha,Domestic,تعليم عام بنين,63.8
1095,17346,ثانوية الدوادمي الاهلية,الدوادمي,Riyadh,Domestic,تعليم عام بنين,63.77
1097,61542,ثانوية خميس مشيط الأهلية,خميس مشيط,Asser,Domestic,تعليم عام بنين,63.76
1103,11192,ثانوية دار المعرفة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,63.7
1104,32963,السلامة الثانوية الأهلية,جدة,Makkah,Domestic,تعليم عام بنين,63.69
1105,32999,الشورى الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,63.68
1113,32996,جيل الجزيرة الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,63.63
1117,26607,ثانوية البشرى بالزاهر الأهلية,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,63.61
1128,193016,منابع المعرفة الأهلية الثانوية,شرورة,Najran,Domestic,تعليم عام بنين,63.54
1136,30254,صفوة الفرسان الأهلية الثانوية,الطائف,Makkah,Domestic,تعليم عام بنين,63.51
1137,11550,ثانوية أجيال اليرموك الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,63.5
1143,11600,ثانوية رواد الجزيرة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,63.48
1158,54244,ثانوية القمة الاهلية,رأس تنورة,AlSharquia,Domestic,تعليم عام بنين,63.35
1163,57725,ثانوية ديوان المعارف  الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنين,63.32
1175,113363,ثانوية القادة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,63.25
1179,46496,نبع المعرفة الاهلية الثانوية,ينبع,Madina,Domestic,تعليم عام بنين,63.22
1181,53847,ثانوية المستقبل الأهلية,الخفجي,AlSharquia,Domestic,تعليم عام بنين,63.21
1182,53851,ثانوية المباركية الاهلية,الدمام,AlSharquia,Domestic,تعليم عام بنين,63.21
1187,57686,ثانوية النخبة النموذجية الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنين,63.16
1214,60395,تربية الأجيال الأهلية الثانوية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,62.94
1220,84376,الجوف الأهلية - الثانوية,سكاكا,Gouf,Domestic,تعليم عام بنين,62.87
1222,146008,ثانوية الانفال الاهلية,ينبع,Madina,Domestic,تعليم عام بنين,62.86
1226,11204,ثانوية التوحيد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,62.85
1229,29993,المعالي الأهلية الثانوية,الطائف,Makkah,Domestic,تعليم عام بنين,62.83
1237,54142,ثانوية الاوائل الاهلية,جسر الملك فهد,AlSharquia,Domestic,تعليم عام بنين,62.75
1259,23291,ثانوية نخبة الفرسان الأهلية,عفيف,Riyadh,Domestic,تعليم عام بنين,62.6
1261,25178,ثانوية دار المنار الأهلية,شقراء,Riyadh,Domestic,تعليم عام بنين,62.59
1262,12232,ثانوية أبناء الرياض الأهلية,-,Riyadh,Domestic,تعليم عام بنين,62.59
1264,54158,ثانوية ماس  الاهلية,القطيف,AlSharquia,Domestic,تعليم عام بنين,62.59
