General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
1600,61542,ثانوية خميس مشيط الأهلية,خميس مشيط,Asser,Domestic,تعليم عام بنين,55.18
1604,113084,ثانوية علوم التربية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,55.15
1608,12222,ثانوية الإبداع الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,55.13
1612,84424,القمم الأهلية - الثانوية,سكاكا,Gouf,Domestic,تعليم عام بنين,55.09
1614,187028,ثانوية مستقبل الاحفاد الاهلية,جازان,Jazan,Domestic,تعليم عام بنين,55.08
1621,26749,ثانوية الإنجاز الأهلية بالشرائع,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,54.99
1623,20302,ثانوية منار سدير الأهلية,المجمعة,Riyadh,Domestic,تعليم عام بنين,54.98
1641,12988,ثانوية البشائر الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,54.81
1644,29861,مجمع شباب الفهد التعليمي الأهلية الثانوية,الطائف,Makkah,Domestic,تعليم عام بنين,54.76
1653,23291,ثانوية نخبة الفرسان الأهلية,عفيف,Riyadh,Domestic,تعليم عام بنين,54.68
1656,54238,ثانوية النعيرية الاهلية,النعيرية,AlSharquia,Domestic,تعليم عام بنين,54.65
1657,111455,ثانوية جيل التربية الأهلية,-,Riyadh,Domestic,تعليم عام بنين,54.64
1664,76569,دار الرأي الأهلية الثانوية,تبوك,Tabuk,Domestic,تعليم عام بنين,54.53
1667,111775,ثانوية مداد البيان الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,54.47
1669,33180,طلائع الفكر الثانوية ( برابغ ) الاهلية,رابغ,Makkah,Domestic,تعليم عام بنين,54.46
1670,12212,ثانوية أجيال المعرفة الأهلية,المزاحمية,Riyadh,Domestic,تعليم عام بنين,54.46
1671,32736,الخليج الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,54.46
1674,184012,أندلس الجوف الأهلية - الثانوية,سكاكا,Gouf,Domestic,تعليم عام بنين,54.43
1684,11295,ثانوية عكاظ الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,54.32
1686,11629,ثانوية آفاق التربية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,54.29
1689,17496,ثانوية دار التعليم الأهلية بساجر,ساجر,Riyadh,Domestic,تعليم عام بنين,54.21
1691,17509,ثانوية أجيال الدوادمي الأهلية,الدوادمي,Riyadh,Domestic,تعليم عام بنين,54.16
1695,33213,السروات الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,54.12
1697,10858,ثانوية أضواء الرياض الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,54.04
1698,110996,ثانوية أضواء الرياض النموذجية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,54.04
1702,60433,فرسان الإبداع  الثانوية الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,53.97
1703,47544,ثانوية الغد الأهلية,بريدة,Qassim,Domestic,تعليم عام بنين,53.94
1707,76450,الشمال الأهلية الثانوية,تبوك,Tabuk,Domestic,تعليم عام بنين,53.89
1709,57695,ثانوية منارات الخالدية  الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنين,53.88
1710,11089,ثانوية رائدة السلام الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,53.88
1711,16346,ثانوية اجيال الفكر الأهلية,الخرج,Riyadh,Domestic,تعليم عام بنين,53.87
1714,11538,ثانوية النظامية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,53.83
1715,111167,ثانوية معالم الصفوة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,53.82
