General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
921,28350,ثانوية صروح التربية الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,67.8
954,60844,ثانوية نور التوحيد الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,67.58
957,46776,مدارس منارات ينبع الأهلية - ثانوي,ينبع,Madina,Domestic,تعليم عام بنات,67.56
967,63698,ثانوية  مدارس أبها الأهلية,أبها,Asser,Domestic,تعليم عام بنات,67.51
971,49042,ثانوية فجر القصيم الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,67.49
981,60845,ثانوية منار السبيل الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,67.45
994,48993,ثانوية المجد الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,67.4
1026,96750,ثانوية روابي الأندلس الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,67.23
1032,35071,ثانوية الصرح النمودجية للبنات,جدة,Makkah,Domestic,تعليم عام بنات,67.18
1065,31235,ثانوية أنجال المملكة الأهلية بالطائف,الطائف,Makkah,Domestic,تعليم عام بنات,67.04
1078,75067,الثانوية النموذجية بحائل,حائل,Hail,Domestic,تعليم عام بنات,66.99
1086,59211,ثانوية البحار الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنات,66.93
1089,48916,ثانوية المنارات الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,66.92
1091,35216,ثانوية جيل الحضارة الاهلية,جدة,Makkah,Domestic,تعليم عام بنات,66.92
1109,51270,ثانوية الغصون,الرس,Qassim,Domestic,تعليم عام بنات,66.84
1113,35061,ثانوية روضة البوادي,جدة,Makkah,Domestic,تعليم عام بنات,66.82
1143,980651,ثانوية مسار العلوم و المعرفة الأهلية,المزاحمية,Riyadh,Domestic,تعليم عام بنات,66.63
1151,96639,ثانوية الشمس الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.57
1155,28389,ثانوية مواهب المملكة الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,66.54
1165,96829,ثانوية  البشائر الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.51
1189,51284,ثانوية الوعد الاهلية,الرس,Qassim,Domestic,تعليم عام بنات,66.4
1196,96683,ثانوية العبير الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.36
1201,56235,ثانوية مدارس درر الجزيرة الاهلية للبنات,الخبر,AlSharquia,Domestic,تعليم عام بنات,66.33
1223,60762,ثانوية  تربية الأجيال الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,66.19
1225,96980,ثانوية الديوان الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,66.19
1243,196167,ثانوية معالم الصفوة الأهلية,-,Riyadh,Domestic,تعليم عام بنات,66.07
1271,49156,ثانوية انجال القصيم لتعليم الكبيرات ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,65.9
1273,96682,ثانوية العلا العربية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,65.89
1286,128857,ثانوية الطموح الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,65.79
1296,97472,ثانوية رحاب المعرفة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,65.73
1299,96668,ثانوية السنابل الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,65.71
1302,31429,ثانوية واحة الفكر الأهلية بالطائف,الطائف,Makkah,Domestic,تعليم عام بنات,65.71
1322,16772,ثانوية النخبة الأهلية بالخرج,الخرج,Riyadh,Domestic,تعليم عام بنات,65.6
1324,96677,ثانوية التقوى الإسلامية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,65.59
1326,31233,ثانوية شركة مدارس الطائف الأهلية النموذجية المحدودة,الطائف,Makkah,Domestic,تعليم عام بنات,65.58
1350,55940,ثانوية مدارس الملك فهد الأهلية للبنات,الخبر,AlSharquia,Domestic,تعليم عام بنات,65.43
1370,35342,ثانوية الأمجادالأولية,جدة,Makkah,Domestic,تعليم عام بنات,65.28
1387,97070,ثانوية أضواء الرياض الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,65.15
1388,51311,ثانوية درة الملبي الأهلية,الرس,Qassim,Domestic,تعليم عام بنات,65.15
1408,77965,ثانوية رياض الصالحين النموذجية الأهلية بتبوك,تبوك,Tabuk,Domestic,تعليم عام بنات,64.99
1430,28357,ثانوية البتول الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,64.87
